"type","code","score","sportsmen_count","equipment","description","image"
"balance","SDB1","0.2","2","Стропы","Верхний спортсмен: Упор на ноги партнера  Прогиб Упор шеей/плечом в стропу  Удержание за снаряд одной рукой  Нижний спортсмен: Продольный шпагат 180 градусов и более","https://admin.wafed.org/storage/elements/18819/image.webp"
"balance","SDB2","0.2","2","Стропы","Верхний спортсмен: Раскрытие продольной шпагатной линии менее 180 градусов  Нижний спортсмен: Продольный шпагат 180 градусов и более ","https://admin.wafed.org/storage/elements/18820/image.webp"
"balance","SDB3","0.4","2","Стропы","Верхний спортсмен: Упор на ноги партнера  Упор шеей/плечом в стропу  Руки не на снаряде   Нижний спортсмен: Продольный шпагат 180 градусов и более","https://admin.wafed.org/storage/elements/18821/image.webp"
"balance","ASDB1","0.2","2","Полотно","Верхний спортсмен: Вис на бёдрах Удержание нога партнера  Нижний спортсмен: Вис на подколенках партнера Заход в элемент с воздуха","https://admin.wafed.org/storage/elements/18735/image.webp"
"balance","SDB4","0.4","2","Стропы","Оба спортсмена: Руки на снаряде Продольный шпагат 180 градусов и более ","https://admin.wafed.org/storage/elements/18822/image.webp"
"balance","ASDB2","0.2","2","Полотно","Верхний спортсмен: Вис на бёдрах Удержание партнера за шею  Нижний спортсмен: Руки не на снаряде Корпус согнут Заход в элемент с воздуха","https://admin.wafed.org/storage/elements/18736/image.webp"
"balance","SDB5","0.6","2","Стропы","Верхний спортсмен: Продольный шпагат 180 градусов и более  Нижний спортсмен: Продольный шпагат 180 градусов и более","https://admin.wafed.org/storage/elements/18823/image.webp"
"balance","ASDB3","0.2","2","Полотно","Верхний спортсмен: Руки прямые Зацеп коленом за полотна Корпус между полотен Упор в бедра партнера  Нижний спортсмен: Любая фиксирующая намотка","https://admin.wafed.org/storage/elements/18737/image.webp"
"balance","SDB6","0.6","2","Стропы","Оба спортсмена: Ноги прямые Ноги разведены Раскрытие ног в положение складки","https://admin.wafed.org/storage/elements/18824/image.webp"
"balance","ASDB4","0.4","2","Полотно","Верхний спортсмен: Вис на бёдрах Любая фиксирующая намотка Без удержания партнера руками Руки не на снаряда  Нижний спортсмен: Вис на подколенках партнера Заход в элемент с воздуха","https://admin.wafed.org/storage/elements/18738/image.webp"
"balance","SDB7","0.6","2","Стропы","Верхний спортсмен: Вис на голеностопах Удержание партнёра за щиколотку  Нижний партнёр: Продольный шпагат 180 градусов и более Удержание за снаряд","https://admin.wafed.org/storage/elements/18825/image.webp"
"balance","ASDB5","0.4","2","Полотно","Верхний спортсмен: Вис на бёдрах Удержание партнера за шею  Нижний спортсмен: Руки не на снаряде Линия ног и корпуса прямая Заход в элемент с воздуха","https://admin.wafed.org/storage/elements/18739/image.webp"
"balance","SDB8","0.8","2","Стропы","Оба спортсмена: Продольный шпагат 180 градусов и более Руки не на снаряде Без удержания руками партнера","https://admin.wafed.org/storage/elements/18826/image.webp"
"balance","ASDB6","0.4","2","Полотно","Верхний спортсмен: Нога в фиксирующей намотке Удержание партнера руками  Нижний спортсмен: Продольный шпагат менее  180 градусов Заход в элемента с воздуха","https://admin.wafed.org/storage/elements/18740/image.webp"
"balance","SDB9","0.8","2","Стропы","Верхний спортсмен: Ноги прямые   Нижний спортсмен: Опора под икроножной  Продольный шпагат 180 градусов и более  Руки не на снаряде                 Без дополнительной опоры на партнёра   ","https://admin.wafed.org/storage/elements/18827/image.webp"
"balance","ASDB7","0.6","2","Полотно","Верхний спортсмен: Руки на снаряде Упор ногами в партнера Упор в верхний отдел спины  Нижний спортсмен: Раскрытие широкой складки","https://admin.wafed.org/storage/elements/18741/image.webp"
"balance","SDB10","1","2","Стропы","Верхний спортсмен: Опора кистями в плечи партнера  Разведение ног в складку  Одна нога спереди стропы, другая сзади стропы  Нижний спортсмен: Ноги прямые                             Руки в стороны ","https://admin.wafed.org/storage/elements/18828/image.webp"
"balance","ASDB8","0.6","2","Полотно","Верхний спортсмен: Широкое раскрытие ног Руки на снаряде  Нижний спортсмен: Продольный шпагат 180 градусов и более Руки не на снаряде                Руки не касаюся партнера","https://admin.wafed.org/storage/elements/18742/image.webp"
"balance","SDB11","1","2","Стропы","Оба спортсмена: Ноги прямые Ноги разведены Раскрытие поперечного шпагата 180 градусов и более Таз, колени, стопы в одной плоскости","https://admin.wafed.org/storage/elements/18829/image.webp"
"balance","ASDB9","0.6","2","Полотно","Оба спортсмена: Продольный шпагат 180  градусов и более Удержание разноименной ноги за щиколотку На разных полотнах","https://admin.wafed.org/storage/elements/18743/image.webp"
"balance","SDB12","1.2","2","Стропы","Верхний спортсмен: Вис на голеностопах Удержание партнёра за щиколотку  Нижний партнёр: Продольный шпагат 180 градусов и более Без удержания за парнера или снаряд","https://admin.wafed.org/storage/elements/18830/image.webp"
"balance","ASDB10","0.8","2","Полотно","Верхний спортсмен: Нога в фиксирующей намотке Удержание партнера руками  Нижний спортсмен: Продольный шпагат 180 градусов и более  ","https://admin.wafed.org/storage/elements/18744/image.webp"
"balance","SDB13","1.2","2","Стропы","Верхний партнёр: Заход через кач с положения виса Ноги прямые  Нижний спортсмен:                 Удержание противоположенной ноги Удержание за щиколотку Продольная шпагатная линия менее 180 градусов","https://admin.wafed.org/storage/elements/18831/image.webp"
"balance","ASDB11","0.8","2","Полотно","Верхний спортсмен: Широкое раскрытие ног Упор в нижнего спортсмена Руки прямые  Нижний спортсмен: Широкое раскрытие ног Спиральная намотка на руках Руки прямые  ","https://admin.wafed.org/storage/elements/18745/image.webp"
"balance","SDB14","1.2","2","Стропы","Верхний партнёр: Ноги прямые                            Удержание за снаряд руками   Нижний спортсмен: Раскрытие ног в складку  Ноги прямые  Руки не на снаряде ","https://admin.wafed.org/storage/elements/18832/image.webp"
